,Owner ID,Owner Name,Reg Owner IMO No,Owner Country,Owner Country Name,City Name,Address line 1,Address line 2,Owner Postcode,Code,Who,Comment
35,35476,MARIMAR SHIPPING SA,5497112,578,Greece,Athens,Care of Benelux Overseas Inc ,"48, Poseidonos Avenue, Glyfada",166 75,j,Batch 10,
36,73223,MELODY SHIPPING SA-PAN,5781739,604,Turkey,Istanbul,Care of Gemiciler Denizcilik Nakliyat Spor Yapi Tesisleri Sanayi ve Ticaret Ltd Sti,"Mahmut Yasari Sokak 73, Kosuyolu Mah, Kadikoy",34710,j,Batch 10,
37,62769,MIRROR SCHIFFAHRTSGESELLSCHAFT,5910298,535,Germany,Schuelp,Care of Kopping Reederei GmbH & Co KG ,Heideweg 2,24813,j,Batch 10,
38,85492,MULAN TRADE LTD,6043691,626,"Hong Kong, China",Hong Kong,Care of Zeno Shipping Management Co Ltd ,"Room 1902, Easey Commercial Building, 253-261, Hennessy Road, Wan Chai",,j,Batch 10,
39,65171,NESTOR NAVIGATION CORP,5789439,578,Greece,Athens,Care of Maran Gas Maritime Inc ,"216-226, Doiranis Street, Kallithea",176 74,j,Batch 10,
40,66615,NMS STAR INC,5939731,589,United States of America,Broussard,Care of DeepCor Marine Inc ,"0, St Etienne Road",161,j,Batch 10,
41,91228,NYK VESTA CORP,5402370,604,Cyprus,Limassol,Care of Columbia Shipmanagement Ltd ,"Columbia House, 21, Spyrou Kyprianou Avenue",4042,j,Batch 10,
42,29311,ODRIA LTD,5558018,589,Bulgaria,Varna,Care of IHB Shipping Co EAD ,"Bulyard Shipbuilding Industry, South Industrial Zone",9000,j,Batch 10,
43,75076,GEBR VAN DER LEE DREDGING BV,6000161,598,Netherlands,Hagestein,Care of Internationaal Transport Gebr van der Lee BV,Lekdijk 28,4142 KC,j,Batch 10,
44,105169,GOLDENCREST MARITIME INC,6155415,575,China,Hong Kong,Care of Northstar Ship Management Ltd ,"20th Floor, weal Centre 414-424, Jaffe Road, Wan Chai",,j,Batch 10,
45,99274,GUANGZHOU WENCHUAN HEAVY,6126238,526,China,Guangzhou,Guangdong,,,j,Batch 10,
46,102620,HANRYEO DEVELOPMENT,216950,575,South Korea,Seoul,"Daeyeongak Center, 25-5, ","Chungmu-ro 1-ga, Jung-gu",100-706,j,Batch 10,
47,20076,HEROIC TUCANA INC,5484363,578,United States of America,Greenwich,Care of Diamond S Management LLC ,"33, Benedict Place",CT 06830-5316,j,Batch 10,
48,59176,HUNTER OFFSHORE SERVICE LTD,5408229,640,Netherlands,Hippolytusoef,Care of Hunter Offshore CV ,Van Pomerenstraat 26,1777 BE,j,Batch 10,
49,79602,ISLANDS TOWING LTD,1793280,608,Papua New Guinea,Rabaul,PO Box 262,East New Britain Province,611,j,Batch 10,
50,106704,JINFENG SHIPPING LTD,6152305,556,"Hong Kong, China",Hong Kong,,,,j,Batch 10,
51,75920,KEEN SERVICES INC,5981004,578,Singapore,Singapore,Care of Mansel Pte Ltd ,"15-02, The Heeren, 260, Orchard Road",238855,j,Batch 10,
52,30070,KORUND CO LTD,5524563,616,Russia,Khabarovsk,Care of Sergey P Boychenko ,"Ofis 609, ul Karla Marksa 96A",680013,j,Batch 10,
53,92410,LEICESTER SHIPPING SA,6081394,604,Canada,Vancouver,Care of Fairmont Shipping (Canada) Ltd ,"Suite 300, 1112, Pender Street W",BC V6E 251,j,Batch 10,
54,79500,LLS SHIPPING,1832521,620,Singapore,Singapore,"01-46, Block 3, Pandan Loop",,128262,j,Batch 10,
55,101717,MARESUR 2000 SL,5608921,544,Spain,Inca,"piso 7B, Avinguda d'Alcudia 71",,7300,j,Batch 10,
56,101453,MARUBUN MATSUSHIMA,913665,569,Japan,Shiogama,"3-7, Kaigan-dori",Miyagi-ken,985-0002,j,Batch 10,
57,83755,MIF I NO 12 K/S,6045414,538,Japan,Imabari,Care of Shoei Kisen KK ,"4-52, Kora-cho 1-chome, Ehime-ken",799-2111,j,Batch 10,
58,75391,MOZAMBIQUE MINERALS LTD,5502269,661,Ireland,Dublin,Care of Kenmare Resources Plc ,"Chatham House, Chatham Street",,j,Batch 10,
59,107979,NAVIGATION TRADING LTD,6170010,590,Greece,Athens,Care of Marine Trust Ltd ,"Vergoti Square, Glyfada",166 75,j,Batch 10,
60,38862,NICHIEI TANKER KK,254914,569,Japan,Os,"2-10, Tosabori 1-chome","Nishi-ku, aka-fu",,j,Batch 10,
61,74063,NYZND SHIPPING INC,4208536,604,China,Nanjing,Care of Nanjing Ocean Shipping Co Ltd ,"18th Floor, Building 5, Zhongtai International Plaza, 311, Jiangdong Zhonglu, Jianye Qu, Jiangsu",210019,j,Batch 10,
62,96328,OFFSHORE TRAWLERS,944089,596,Nigeria,Port Harcourt,"Rivers State, 1, Kolokuma Street","Borokiri, Rivers State",,j,Batch 10,
